condition_timepoint	cold_1	cold_2	cold_3	cold_4	cold_5	cold_6	cold_7	cold_8	cold_9	cold_10	cold_11	cold_12	heat_1	heat_2	heat_3	heat_4	heat_5	heat_6	heat_7	heat_8	heat_9	heat_10	heat_11	oxidative_2	oxidative_3	oxidative_4	oxidative_5	oxidative_6	oxidative_7	oxidative_8	oxidative_9	oxidative_10	oxidative_11	oxidative_12	lactose_1	lactose_2	lactose_3	lactose_4	lactose_5	lactose_6	lactose_7	lactose_8	lactose_9	lactose_10	lactose_11	lactose_12	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	control_11	control_12
the name of the metabolite measured	cold stress experiment time point 1	cold stress experiment time point 2	cold stress experiment time point 3	cold stress experiment time point 4	cold stress experiment time point 5	cold stress experiment time point 6	cold stress experiment time point 7	cold stress experiment time point 8	cold stress experiment time point 9	cold stress experiment time point 10	cold stress experiment time point 11	cold stress experiment time point 12	heat stress experiment time point 1	heat stress experiment time point 2	heat stress experiment time point 3	heat stress experiment time point 4	heat stress experiment time point 5	heat stress experiment time point 6	heat stress experiment time point 7	heat stress experiment time point 8	heat stress experiment time point 9	heat stress experiment time point 10	heat stress experiment time point 11	oxidative stress experiment time point 2	oxidative stress experiment time point 3	oxidative stress experiment time point 4	oxidative stress experiment time point 5	oxidative stress experiment time point 6	oxidative stress experiment time point 7	oxidative stress experiment time point 8	oxidative stress experiment time point 9	oxidative stress experiment time point 10	oxidative stress experiment time point 11	oxidative stress experiment time point 12	lactose shift experiment time point 1	lactose shift experiment time point 2	lactose shift experiment time point 3	lactose shift experiment time point 4	lactose shift experiment time point 5	lactose shift experiment time point 6	lactose shift experiment time point 7	lactose shift experiment time point 8	lactose shift experiment time point 9	lactose shift experiment time point 10	lactose shift experiment time point 11	lactose shift experiment time point 12	control experiment time point 1	control experiment time point 2	control experiment time point 3	control experiment time point 4	control experiment time point 5	control experiment time point 6	control experiment time point 7	control experiment time point 8	control experiment time point 9	control experiment time point 10	control experiment time point 11	control experiment time point 12
alanine	-0.023838218	0.023450724	1.355260784	1.43829393	1.634890585	1.741752313	1.763455047	1.574765805	1.774514348	0.980350583	1.37425907	1.361609224	-0.244583772	0.209067417	2.099330859	2.554628453	2.788328717	2.72567584	3.033228421	3.727332952	3.87713037	4.171582648	4.386238647	-0.060933993	0.058464328	1.889611059	2.446151003	2.814234241	2.713235172	1.256964733	1.959936223	0.996715449	0.371193336	0.077619311	0	0.503949744	0.809466953	-0.017112939	0.040384524	0.354707562	0.66187802	2.20451173	1.820399217	0.934807242	1.122682575	1.221880865	-0.231729971	0.199608792	0.331326886	0.53540179	0.536977932	0.658854128	0.814371383	1.529046864	1.625313063	0.488077458	0.411999693	0.257111081
arginine	-0.067464252	0.06444988	0.878307505	0.402170142	0.543182874	0.524237892	1.303085552	1.584457005	1.044042414	0.652043188	1.444843762	1.211748066	-0.236644758	0.203242685	0.250591202	1.187889877	1.278032036	1.125858578	1.494406935	2.701649902	2.622268889	2.813742606	3.430488455	-0.204331724	0.178949614	0.528338638	1.422130856	0.907219504	1.379742454	1.383645636	2.192551474	2.183441877	2.64280989	2.200097916	0	0.612174642	2.199456606	1.499940802	1.119120835	1.612000151	1.277966657	2.094291499	3.048165753	3.340384535	2.597626832	3.537152378	-0.370332441	0.294424645	0.658675355	0.801071631	0.74674599	0.84526417	1.114732794	2.018995787	2.266957285	1.814455466	1.614889167	1.638744564
asparagine	0.010953262	-0.011037059	1.688973838	1.487965756	1.399153093	1.436537728	1.425867138	1.907615614	1.934890166	1.315052587	2.018591032	2.040751532	-0.391295049	0.307492782	1.54026901	1.749656032	1.76186342	1.526327534	1.859926829	2.300825212	2.736680371	2.94325227	2.905170443	-0.355900941	0.285246512	1.064554676	1.796200875	1.980262897	1.943120228	1.761598415	2.28898541	4.142192346	4.104535161	2.987148942	0	0.4349466	2.58440099	2.24494893	1.675213931	1.635599827	1.354031062	2.366436386	3.3240462	2.708995055	3.709746823	4.138220392	-0.279214597	0.233839599	0.412922869	0.647092006	0.917069797	1.082377611	1.128335406	1.85335568	1.73069055	1.545867747	1.687880894	1.326724605
aspartic acid	-0.072367778	0.068910436	0.874221816	0.800734935	0.775201062	1.005764417	1.172135043	1.306134464	1.519573827	1.428587427	1.699307936	1.700464798	-0.192085665	0.169489752	0.531343423	1.06300091	0.760218409	0.711945849	1.058556538	1.1183659	0.847442756	1.069260576	0.895947135	-0.161813303	0.145480736	-1.973014121	0.550490774	1.029080871	1.016624349	0.463360465	1.538196837	0.746478733	1.943880736	1.115962794	0	1.306879908	1.977702867	1.499848358	0.849272855	1.200703662	1.129576966	2.274642063	2.690847255	0.076452833	0.306401534	0.580655943	-0.313757702	0.257561657	0.367140128	0.728517801	0.727958654	0.829131382	1.099738797	1.645871524	1.2013414	-0.875798762	-0.87115417	-0.849161159
azelaic acid	0.194870965	-0.225365623	-0.204579726	-0.261235097	-0.131927927	-0.199275019	-0.405565193	-0.417429378	-0.309013223	-0.038473446	-0.53014137	-0.55194714	-0.286683586	0.239050453	-0.782409917	-0.182023599	-1.075087808	-0.74656759	-0.690586925	-0.330926911	-0.642324935	-1.153803327	-0.506105064	0.245016987	-0.29531697	0.134490647	-0.475725616	-0.524011449	-0.441532666	-0.110683534	-0.726751302	-2.956955215	-4.12596842	-3.870336855	0	-0.727381287	-0.386420384	-0.173266803	-0.311002349	-0.56644641	-0.929656688	-0.591703136	-0.300654519	-0.304840571	1.95643676	1.312806071	-0.084820608	0.080109439	0.291345403	-0.048873858	-0.086729461	-0.156101753	-0.4937048	-0.845056563	-1.474055117	-1.928899299	-1.915801016	-2.18087763
benzoic acid	-0.015279142	0.015119019	-0.019307784	-0.147985863	-0.394862363	0.493893117	-0.456015876	-0.670639974	-0.508676162	-0.281080346	-0.585936356	-0.087503671	0.170843065	-0.193826304	-0.422298679	-0.268248304	-0.584955467	-0.567854665	-0.555783447	-0.374489728	-0.22333026	-0.022847287	0.041047379	0.232949903	-0.27794589	0.044217248	-0.129973219	-0.126575768	-0.140296301	0.100552175	0.326090361	0.378878896	0.395065382	0.371418975	0	0.047846555	-0.043662454	-0.164489792	0.354936411	0.451259637	0.618216243	1.041475669	0.504502949	0.916737374	1.298423001	0.62998533	0.134226628	-0.14800808	-0.109867127	-0.238407269	-0.513806918	-0.435676211	-0.42088001	0.039802392	0.125375941	0.251741409	0.091581093	-0.030767447
benzoic acid-4-hydroxy 	-0.003230213	0.003222996	-0.031803996	-0.1352286	-0.185733092	-0.243973809	-0.009595315	0.156854197	0.160448622	0.326372196	0.257115241	0.33846814	-0.299498836	0.24788547	0.11388754	0.200105048	0.128592007	0.118272183	0.195655093	0.362633563	0.434453701	0.508373373	0.757639045	-0.115942442	0.107313849	0.207023175	0.216114094	0.395820399	0.456509038	1.264590492	2.055697765	2.536995439	2.548149428	2.467364768	0	0.562746922	0.922141603	1.17814349	1.18963683	1.108734986	1.185114843	2.28137384	3.315668754	3.6510549	3.373408641	3.406080729	-0.159084108	0.143271342	0.385553035	0.428802088	0.657009203	0.709184149	0.771790009	1.458686238	2.011762662	2.258618995	2.279377228	2.215682354
beta-alanine	0.019332073	-0.019594645	-0.227750197	-0.13727104	-0.285068133	-0.374066867	-0.044402209	0.258369676	0.480209247	0.40187365	0.846573127	0.628484544	-0.220414666	0.19115998	1.115231798	1.401542486	1.542178584	1.527733851	1.502796471	1.843269683	2.173188302	2.136576109	2.38561476	-0.009958779	0.009890505	1.519037157	1.446167349	1.305448056	1.28545232	1.541871203	2.592805204	4.376680779	5.104253614	4.722804815	0	0.558684605	3.325542168	3.970845676	3.561002377	2.926898657	1.584713949	1.875120702	2.437601483	2.894180135	3.607308177	2.938071984	-0.0717323	0.068333996	0.473890429	0.484490277	0.399356949	0.52335668	0.650490254	1.797235423	2.683244262	1.843474573	1.143188127	0.711184272
choline chloride 	-0.032857128	0.032125446	-0.045438026	-0.132157762	-0.031553244	-0.050979058	-0.244415054	0.055531216	0.129507535	0.294880515	0.23320091	0.249721153	0.019515407	-0.019783017	0.004945929	0.036225107	-0.110308387	0.110443795	-0.013897193	-0.177721809	-0.173736039	0.295951092	0.256079371	-0.013412284	0.013288741	-0.245007703	-0.069936111	0.029659871	-0.067219047	-0.125826467	-0.046134686	0.470558444	0.325086233	0.278772092	0	-0.025741775	0.067946438	-0.055121222	0.15147269	0.08094782	0.082010186	0.418315929	0.089968829	0.007079574	0.107215749	0.351438419	-0.123545882	0.113795466	-0.077996232	-0.06227515	-0.248717894	-0.152577407	-0.042710513	0.083038433	0.240056403	0.36466228	0.299602309	0.116700095
cysteine	-0.081127101	0.076806937	-0.076160659	-0.334512642	-0.240402257	-0.323979498	0.010031789	0.231506499	0.168872572	0.456746012	0.530004231	0.362009945	-0.363186052	0.289898463	0.182730654	1.080983849	1.057007555	1.243412224	0.959445917	0.824084926	1.094218505	0.410448525	0.443214742	-0.05705058	0.054880104	-0.197806869	0.262863322	0.630291393	0.640657323	1.492941471	2.230198674	2.540098755	2.751727815	2.739422751	0	0.764904542	1.296692939	1.19974273	0.924246448	1.2485028	1.300641943	2.458819219	3.483439303	3.414635126	3.654967103	4.460790494	-0.211343533	0.184302524	0.533839024	0.709280661	0.533867821	0.811613618	1.186269459	2.37502428	2.992221836	2.758115677	2.867773985	2.688443861
