condition_timepoint	cold_1	cold_2	cold_3	cold_4	cold_5	cold_6	cold_7	cold_8	cold_9	cold_10	cold_11	cold_12	heat_1	heat_2	heat_3	heat_4	heat_5	heat_6	heat_7	heat_8	heat_9	heat_10	heat_11	oxidative_2	oxidative_3	oxidative_4	oxidative_5	oxidative_6	oxidative_7	oxidative_8	oxidative_9	oxidative_10	oxidative_11	oxidative_12	lactose_1	lactose_2	lactose_3	lactose_4	lactose_5	lactose_6	lactose_7	lactose_8	lactose_9	lactose_10	lactose_11	lactose_12	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	control_11	control_12
the name of the metabolite measured	cold stress experiment time point 1	cold stress experiment time point 2	cold stress experiment time point 3	cold stress experiment time point 4	cold stress experiment time point 5	cold stress experiment time point 6	cold stress experiment time point 7	cold stress experiment time point 8	cold stress experiment time point 9	cold stress experiment time point 10	cold stress experiment time point 11	cold stress experiment time point 12	heat stress experiment time point 1	heat stress experiment time point 2	heat stress experiment time point 3	heat stress experiment time point 4	heat stress experiment time point 5	heat stress experiment time point 6	heat stress experiment time point 7	heat stress experiment time point 8	heat stress experiment time point 9	heat stress experiment time point 10	heat stress experiment time point 11	oxidative stress experiment time point 2	oxidative stress experiment time point 3	oxidative stress experiment time point 4	oxidative stress experiment time point 5	oxidative stress experiment time point 6	oxidative stress experiment time point 7	oxidative stress experiment time point 8	oxidative stress experiment time point 9	oxidative stress experiment time point 10	oxidative stress experiment time point 11	oxidative stress experiment time point 12	lactose shift experiment time point 1	lactose shift experiment time point 2	lactose shift experiment time point 3	lactose shift experiment time point 4	lactose shift experiment time point 5	lactose shift experiment time point 6	lactose shift experiment time point 7	lactose shift experiment time point 8	lactose shift experiment time point 9	lactose shift experiment time point 10	lactose shift experiment time point 11	lactose shift experiment time point 12	control experiment time point 1	control experiment time point 2	control experiment time point 3	control experiment time point 4	control experiment time point 5	control experiment time point 6	control experiment time point 7	control experiment time point 8	control experiment time point 9	control experiment time point 10	control experiment time point 11	control experiment time point 12
glutamic acid-N-acetyl	-0.196267079	0.17273584	1.022974389	0.689088139	0.567096805	0.897427946	1.100993568	1.166206707	0.556381085	0.671488032	1.19635063	0.499534748	-0.222332533	0.19260016	-0.706242603	-0.925481123	-1.395120158	-0.844457489	-0.504053112	0.691406798	0.942239487	1.780803924	2.000347427	0.070427151	-0.074042387	0.286610417	-0.676343357	-0.894774321	0.237948897	1.857994166	1.753407238	2.636325501	2.468529044	3.306303284	0	1.967861714	1.601462328	1.515847393	1.449668322	1.765541049	1.325655339	3.440216738	5.136465084	3.790045845	3.528946348	3.941446258	0.133455601	-0.147071007	0.139272272	0.813824825	1.089371512	0.860946736	1.351448488	2.692372385	2.890879663	2.007659689	1.725740782	1.790870515
glutamine	0.000528569	-0.000528762	0.00490659	-0.013926307	0.025580598	0.100520945	0.446730557	0.348754204	0.626096415	0.540034893	0.877958521	0.887773405	-0.161284224	0.145053016	0.030729631	0.143048927	0.06338819	0.219849106	0.178642479	0.448866099	0.271268584	0.706974269	0.352801615	0.025902294	-0.026375862	-0.236094643	0.377319018	0.540291821	0.840309416	0.581244096	1.139603616	1.521930436	2.574055645	1.896535053	0	0.590062256	-0.44066595	-0.455000129	-0.084767926	0.540641062	0.877960364	2.01219957	2.645108546	0.184708877	0.141711257	0.350703733	-0.177917117	0.158365061	0.290023104	0.536540692	0.300875056	0.303246938	0.439297239	1.015373202	2.063255859	-0.089864843	0.120139221	0.059703837
glutamine-N-acetyl 	-0.199864181	0.175514991	0.373982186	0.538090061	0.749058129	0.9484173	1.130709897	1.15755549	0.481254008	0.41693927	1.518705581	1.072932309	-0.365597987	0.291430164	-0.4020126	-1.046275982	-1.695026333	-1.576409924	-1.407339911	-1.335450417	-1.194333676	-1.109865724	-0.90244476	-0.540019926	0.392030053	-0.103724902	-0.495092364	-0.935813636	-0.120958531	2.493468834	3.696959076	4.341846	3.98596752	3.48681312	0	0.975767726	1.501651362	1.788986972	1.304464609	1.073273317	1.734189372	3.265033196	4.498532236	4.539255143	4.044626855	3.975218751	-0.298273727	0.247046577	0.620516269	0.97722101	1.117257851	1.182611483	1.603461462	2.903818836	3.931864391	2.69340612	2.663766815	2.476306412
glutaric acid-2-hydroxy	-0.041400653	0.040245657	-0.254670449	-0.29856164	-0.32660635	-0.402798476	-0.199870127	-0.3040294	-0.224366539	0.02121627	-0.050206474	-0.000767233	-0.370282448	0.294393108	-0.109949218	-0.00576124	-0.105804633	-0.029324007	0.15023342	0.29380238	0.684678293	0.702926959	0.900084554	-0.13587385	0.124171413	0.115765115	0.168769602	0.248214015	0.363983037	1.897034577	3.288718311	3.908418554	3.717778714	3.623117821	0	0.555772768	0.801084132	0.681662347	0.765475804	0.856409458	0.890284615	2.054840108	3.383337931	3.538542642	3.173200786	3.153294843	-0.132597814	0.12143001	0.417097188	0.479979464	0.579850613	0.713402921	0.767653267	1.405703308	1.981363246	2.262758912	2.334203646	2.079432793
glyceric acid-3-phosphate	0.035460026	-0.036353608	-0.401274715	-0.132443685	-0.231944996	0.008466952	-0.152080903	-0.406304588	-0.348093449	-0.023863103	-0.474036198	-0.500201606	-0.287830843	0.239846807	-1.621693618	-1.239413681	-1.16076843	-1.365059742	-1.257017038	-1.070401859	-0.746165075	-0.884307155	-0.679654414	-0.050183108	0.048496044	-0.36833619	-1.200651712	-0.876195756	-0.726428815	0.364807813	1.028485491	1.796685255	1.259945613	1.335552135	0	1.08064892	2.846020732	2.593582463	2.698391156	2.543032541	2.110804719	2.333393365	2.929751252	2.33913904	4.661927603	4.975466823	-0.194205092	0.17113718	0.315438271	0.614827459	0.528234156	0.505716212	0.486290935	0.913334775	0.621978816	0.380368289	0.227293659	0.118211775
glycerol	0.208092722	-0.243249993	-0.136989613	-0.105940155	-0.235680185	-0.850545937	-0.372202862	-1.021228746	0.138120531	-0.914671919	-0.515373629	-0.406751528	0.385299161	-0.527263955	-0.67614053	-0.969776867	-0.940679649	-0.696214927	-1.157031351	-0.609638528	-0.226244411	0.004989784	-0.487643053	0.302788609	-0.38369202	-0.070436769	0.2206567	0.204402008	0.199433678	0.639578075	0.735319493	0.630138308	-0.394193643	-0.084003717	0	0.230078842	-0.034529894	0.224071656	-0.205487304	-0.165723946	0.098788434	0.512022038	0.472669573	0.292479812	0.335768824	0.322009518	0.23823329	-0.285507958	-0.51329562	-0.70282454	-0.812575164	-1.181732975	-1.018256253	-0.224027791	-0.410881852	-0.264491775	-0.671166761	-0.77646199
glycerol-3-phosphate	-0.030467272	0.02983714	0.351871821	0.282987538	0.190675451	0.347478983	0.522572246	0.433368273	0.39699176	0.675307822	0.815940586	0.747910491	-0.025461604	0.025020023	-0.285888728	-0.096003685	-0.281410405	-0.492170998	-0.404449557	-0.237234886	0.278290683	0.344923366	0.487875742	-0.352822144	0.283268916	-0.000890156	0.023757666	0.411607623	0.098589344	1.091058422	1.074971135	1.799836908	1.613545841	1.109971916	0	0.448571367	0.392690007	0.191618227	0.207683426	0.334046981	0.408963752	1.117244498	1.62208568	1.615774927	0.917550947	0.802621141	-0.126863581	0.116603925	0.340365029	0.352693788	0.260935822	0.518002501	0.546276166	1.205306704	1.682631337	1.46369108	1.581455936	1.334948301
glycine	0.091023496	-0.097155465	-0.417242334	-0.242805508	-0.481537101	-0.566244415	-0.390319941	-0.816989892	-0.442148116	0.554087497	-0.211706293	-0.484734299	-0.171607537	0.153347711	-0.163700242	0.07824087	0.161932647	0.015523437	0.196605702	0.647031327	0.793463978	0.913814768	0.98390318	-0.079956205	0.075756646	0.585262494	0.658053634	0.21269344	0.072890745	0.980173825	1.566137629	0.463666673	0.867437708	0.801775292	0	0.406441584	0.764722235	1.145548207	0.198215345	0.956778437	0.661956701	1.576477397	2.205257673	2.606065548	1.180004729	0.799385399	-0.180392406	0.160322678	0.289672204	0.372287493	0.261696074	0.273158629	0.495978001	1.092073201	1.327761771	0.380324667	0.441389082	0.270252585
glycolic acid	-0.100096565	0.093600006	-0.097861596	-0.157563983	-0.191791202	-0.198864099	-0.167358304	-0.264281267	0.061139888	0.077581539	0.192164758	0.257962897	-0.210146073	0.183391611	0.261224931	0.094922959	-0.063610197	-0.001466122	0.015674361	0.120411952	0.449451615	0.591901561	0.922701184	-0.05333127	0.051429882	-0.008904756	0.017428373	-0.03750741	0.138463015	0.505803504	1.030562212	2.909641083	3.259773503	3.025631242	0	0.04093647	0.047164289	-0.181573271	0.43387501	0.241232295	-0.035605566	0.441571855	1.427004276	5.004183739	2.067520347	-0.038811623	-0.089176887	0.083984049	0.03478261	0.078259578	0.119041907	0.125451758	0.221005895	0.881018539	1.484744614	2.973428247	3.079063172	2.632439213
heptadecanoic acid	-0.049961872	0.048289404	0.232101811	0.229016819	0.082000346	0.172477868	0.018219396	0.020315418	-0.011728493	0.124479691	0.373693623	0.301197545	-0.035964428	0.035089646	0.36916474	0.092620536	0.270517364	0.104214042	0.279992908	0.455482628	0.442718752	0.783013235	0.681526324	0.089877612	-0.09585104	0.332208951	0.017122999	0.221582621	-0.31289356	0.529057193	0.287700212	0.842136614	1.529703582	0.747555148	0	0.019077008	0.069934293	0.129202091	0.126568381	0.070812014	0.161132948	0.362796655	0.525757365	0.737178255	0.709849854	1.038178875	0.142843558	-0.158556759	0.464185686	-0.145262854	-0.074168732	-0.039098886	-0.094997796	0.386642464	0.967283559	1.136887645	0.962240799	0.942801269
hexacosanoic acid	0.054529474	-0.056671759	-0.037995913	0.009192854	0.023587231	-0.375257053	-0.050549731	-0.031374512	-0.164543017	-0.068359029	0.163916615	-0.106226923	0.037282414	-0.03827149	0.36204635	0.849532477	0.933942327	0.49847807	0.972538796	1.155870587	1.255476724	1.294709178	1.355468037	-0.108720183	0.101098165	-0.076004743	0.548757625	0.410909354	0.263253399	0.849526156	1.174117356	1.100045559	0.962551621	1.307621052	0	0.520188264	0.140108242	0.045850665	0.419668345	0.561025341	0.244245941	0.855026279	0.659780224	0.974072205	0.623396943	0.930268822	-0.113882577	0.105546965	0.138819856	0.0554368	0.103047716	0.053950032	0.197902043	1.032541846	1.018163213	0.997542901	0.661540509	0.712049367
histidine	-0.068446461	0.06534568	0.215606259	0.451191755	0.02759023	0.070094169	-0.148649308	-0.23439717	0.200266715	-0.075411965	-0.610428113	0.492378762	-0.431236274	0.331560769	0.415594682	-0.04186897	0.034478706	0.105396989	0.305838051	-0.068013143	0.22777526	0.192699707	0.21542947	0.116077002	-0.12624004	1.395486656	-0.014799237	0.669640065	-0.082227642	0.260548687	-0.097696963	1.365615119	1.457413214	0.164622327	0	0.699963199	0.129126538	1.558648648	-0.108726964	0.809419828	0.586192741	1.15330272	0.513545396	0.230229053	0.622630736	1.198177722	0.117426664	-0.127838175	-0.182790376	-0.622399813	-0.243559452	-0.358388432	0.051299018	-0.394148195	-0.034858456	0.12543083	-0.150461412	-0.136245386
homoserine	-0.069522741	0.066325938	0.483740893	0.749435841	0.804285295	0.827459163	1.061754351	0.922076741	0.951766582	1.536881973	0.935879785	1.001045896	-0.277037644	0.232312167	0.50844184	1.056049727	1.340661449	1.397838665	1.604006967	2.506749838	2.639547153	2.691115552	2.911865063	-0.141211182	0.128613335	-1.480558225	-0.115366228	-0.263394055	-0.598089769	0.929756734	2.041055511	-0.564066417	1.125958855	0.290204512	0	0.58474529	-0.804904206	-1.081095481	-0.491411217	0.58275891	0.724151177	2.364976564	3.040899603	0.829616255	-1.882451239	-1.633408299	-0.224898776	0.194521991	0.364717965	0.645197013	0.689403907	0.700463863	0.978032584	1.591643899	1.623819387	-0.545996883	-0.50523233	-0.789528519
isoleucine	-0.087062613	0.082106309	0.973570108	1.045441105	1.043902457	1.065980436	1.352661299	1.702881916	2.061582475	1.87589608	2.25426797	2.285835253	-0.133244698	0.121972232	4.106380059	4.377963541	4.291461035	4.302112545	4.262041165	4.743619196	4.884320633	5.131029901	5.144183133	-0.077394089	0.073452781	-2.033245767	1.010335976	2.730275695	2.488299845	1.729516276	1.560383421	5.319126578	5.268587553	4.690634096	0	-0.015083561	1.470232673	1.061483901	1.360292316	1.363342568	1.274393684	1.134462152	2.151169213	5.484921519	5.671607472	5.62042138	-0.329070535	0.267776463	0.370818273	0.201787934	0.550173963	0.43109009	0.541258334	1.367995581	1.991901151	5.629537521	5.905755465	5.828371952
isomaltose	0.110043659	-0.119135677	-0.444142482	-0.566297961	-0.70129215	-0.664841896	-0.443734218	-0.589006845	-0.51520474	-0.324855187	-0.367639948	-0.407961899	-0.138565875	0.126415578	-0.141170152	-0.181310027	-0.128111121	-0.478487264	-0.348534307	-0.154595586	-0.281810368	-0.262223042	-0.216122164	0.067590657	-0.070913617	-0.048077953	-0.237720381	0.066598898	0.084719977	0.054480193	0.089145546	0.06957281	-0.112142723	-0.125117357	0	-0.084196798	0.352893395	1.218929492	1.892718981	2.772898396	2.908692804	3.558376825	0.715055575	-1.446904949	-2.058836638	-1.911034394	-0.082428569	0.077972456	0.27607595	0.172924112	-0.065237997	-0.16582681	-0.062553862	-0.067753875	-0.069103227	0.000332305	-0.12292432	-0.330115208
isopropylmalic acid	-0.082287054	0.07784582	-0.882595892	-0.583309978	-0.459998761	-0.474896793	-0.381971683	-0.4294825	-0.414817184	0.529667595	-0.142960737	-0.172801973	-0.287826377	0.239843709	-0.636047933	-0.246890785	-0.137020269	0.423736439	0.585838691	1.054682012	2.726756533	2.901398028	3.227934431	-0.130699567	0.119836303	0.107178199	0.31513611	0.013048068	-0.084130855	1.421101675	2.541976293	2.749847522	3.115973262	2.884209734	0	0.257929326	0.618082967	0.445475484	0.200979794	0.492131805	0.632554462	1.933607204	3.193243926	3.18683981	2.962555722	2.998131255	-0.166876591	0.149559719	0.331793368	0.680471634	0.627763983	0.793619031	0.913065497	1.537887677	2.07341011	1.699825949	1.558608747	1.546293093
leucine	0.07368152	-0.077648082	0.925257115	0.93715966	1.029712217	1.12190588	1.249210582	1.217033231	1.276350998	0.986395523	1.384652591	1.20642454	-0.188239282	0.166488945	-0.063246618	0.46555996	0.159146097	-0.130310256	-0.30512568	-1.689789863	-3.557411673	-4.834147927	-3.799469934	-0.017359478	0.017153078	-0.486410401	-1.977750917	-0.606126267	-0.620710885	0.46161787	1.052502578	0.145001734	-0.440960577	-0.009900443	0	0.333777186	-0.588519239	-0.688247398	-0.596870589	0.107235837	0.152877798	1.184472185	1.337352055	1.749504481	1.986086944	2.325164887	-0.221736252	0.192152755	0.320905838	0.431618139	0.455491718	0.464712763	0.548091137	1.203987041	1.376836099	1.458121235	1.906586242	1.890822539
lignoceric acid	-0.390674115	0.307110098	1.190430593	0.391881932	0.609641332	0.725358635	1.084607482	0.627334218	1.416121538	0.517289868	0.749802073	0.736899494	-0.067481089	0.064465245	-0.180435062	0.106719292	-0.134799582	0.023828737	-0.043767189	-0.545466961	-0.431086413	0.061671985	-0.047827847	-0.000592258	0.000592015	0.305904317	0.184174766	0.117478899	0.292921763	0.25068069	0.467313272	0.509271335	0.243358295	0.365709739	0	0.305635009	0.370357918	0.623986131	0.536460151	0.475277128	0.183798671	0.075434012	0.535239407	0.331472639	0.053262068	0.052197019	-0.291637839	0.242481719	0.222504751	0.089913681	0.100229032	-0.05251377	0.025294932	0.034317251	-0.098203525	-0.345502109	-0.047750516	0.05911837
linolenic acid	-0.187776973	0.166127308	-0.092067195	0.088616638	0.17008411	-0.048389916	-0.329608684	0.099562844	0.158312399	0.521379179	-0.000404404	0.26273874	-0.158514768	0.142809483	0.327591897	0.172224091	-0.049793726	-0.085433232	0.32036724	-0.15322339	-0.035273642	-0.26074169	0.015955591	-0.122804867	0.113166559	0.06586345	0.051162296	0.201512987	-0.039248599	-0.042454835	0.483166671	0.401727998	0.59820614	0.539520142	0	-0.041979777	0.266650669	0.284296815	0.277463282	-0.382190055	-0.265594148	-0.226157792	0.100172549	-0.265984891	-0.09673849	0.195918056	-0.069132865	0.065971007	-0.041805848	0.229881403	0.151023713	-0.246682465	0.331033808	0.495409703	0.674085347	0.213445683	0.067726303	0.358091279
lysine	0.29439853	-0.370291043	1.584477606	1.191751764	0.852373624	0.728911314	0.878520498	0.994132241	0.896794707	0.801163502	1.605131435	1.305258283	-0.305468882	0.251956342	2.428574239	2.898933338	2.794875153	2.844187954	2.759093277	3.225476756	3.409685887	3.426230305	3.432690283	-0.059057259	0.0567345	0.32965952	1.800326257	2.030793115	2.106297544	0.727310653	1.423488163	2.198257353	1.64265805	1.457089019	0	0.267569901	0.951596982	1.102527524	0.904628403	0.921359782	0.866006901	1.804243596	2.909694811	2.645100351	3.246100347	3.566592465	-0.33347545	0.270681613	0.325357603	0.639321793	0.692053796	0.773810683	0.905133397	1.544584868	2.2299403	2.346975006	2.051756528	2.008886361
malic acid	-0.084457723	0.079785679	-0.581680354	-0.54033021	-0.549262633	-0.656219862	-0.699826278	-1.157506233	-1.29664633	-0.431355353	-1.365022514	-1.423569079	-0.348306204	0.280355624	-0.75257829	-0.249829134	-0.33333608	0.042951467	0.192455733	0.652672642	1.667728431	1.859843283	2.219179602	-0.144429844	0.131277522	-1.626926525	-1.060687993	-0.955254548	-0.742519135	0.72259139	2.427737282	1.795895167	2.027872862	2.635111366	0	1.229471907	-0.152451553	-0.295280879	-0.374886266	0.432313156	1.019092517	2.60442902	3.626524438	3.087133571	0.704191795	0.206960282	-0.201100966	0.176467709	0.391250509	0.675558994	0.492817328	0.654425952	0.857228462	1.347963792	2.085400521	1.566206514	1.956207895	1.691514171
maltose 	0.105472514	-0.113795901	-0.440964034	-0.69428248	-0.707228951	-0.766318903	-0.454324753	-0.545122066	-0.666892689	-0.484275298	-0.442206639	-0.442888404	-0.134427643	0.122962629	-0.167888512	-0.23891149	-0.173427368	-0.501890251	-0.399581202	-0.273025877	-0.388894253	-0.354424116	-0.399072514	0.023289974	-0.02367213	0.01656043	-0.016774791	0.151779983	0.218863848	0.215913022	0.6113548	0.635390707	-0.926687136	-1.280955251	0	0.315202565	0.654152408	0.357229573	0.476500101	0.583270166	0.567893768	0.458376715	-0.304254836	-4.469644999	-3.906260751	-3.583244432	-0.0766172	0.072752662	0.384618831	0.223086204	-0.111808994	-0.285714425	-0.081149099	-0.09077821	-0.157006476	-1.153337421	-3.306541158	-3.939839652
methionine	0.005413419	-0.005433809	1.504425958	1.25357742	1.069462457	0.985650931	1.249104232	0.823953586	0.874423083	0.67760844	0.701612671	0.452116259	-0.225704835	0.195124407	-4.327287898	-4.219680627	-4.386485788	-4.026142733	-4.943412787	-4.063880727	-3.686439862	-3.712566779	-3.616307893	-0.053489273	0.051576803	-2.209914848	0.218628864	0.247592491	-0.033912312	0.896079707	1.865900416	1.815607115	1.990911811	1.742440977	0	0.74945015	0.691396427	0.402428051	0.687861183	0.650484813	0.894062252	1.240296302	2.190942203	3.30180062	1.238271933	1.056051857	-0.216466952	0.18818495	0.385809388	0.646852621	0.619876491	0.688997527	0.913845289	1.470735487	2.207400846	2.477258675	2.395949624	2.269196953
norleucine	-0.087626971	0.082608037	0.731217966	0.793459492	0.686332639	0.730518573	1.12052404	1.824832344	2.636193326	3.426998096	4.0339509	4.049360405	-0.331947856	0.269675794	-1.199903449	-1.181771545	-1.281221432	-1.538850421	-1.460168109	-1.633311954	-2.183170424	-2.30033931	-3.237781708	-0.103156715	0.096270377	0.129139296	0.012632683	-0.142633771	-0.075386377	1.469528449	2.04703145	2.687709377	2.794776965	2.472752602	0	0.493658061	1.108727415	0.889975602	1.089992771	1.096432525	1.20241881	2.400674405	3.971313408	4.088808123	3.690578298	3.703948573	-0.223977739	0.193832924	0.536674314	0.734644417	0.930570367	1.08650915	1.35654206	2.574882707	4.023583272	3.354855213	3.073830325	2.846237857
norvaline	-0.083133108	0.078602569	1.926759764	2.49695367	2.922417069	3.332898007	3.565456323	4.32473715	4.974742577	4.900481481	5.088131838	5.212430961	-0.286813844	0.239140923	0.461307601	0.134535157	-0.211356018	-0.219846735	-0.297061765	-0.264674771	-0.074163125	-0.169180324	-0.134665435	-0.152303167	0.137748992	0.00920284	0.78582467	1.458065376	1.738953617	1.232375402	1.464217485	2.49098962	2.498884127	1.046030577	0	0.50151939	1.406527383	1.530906722	1.366611459	1.625537177	1.458569268	2.814820881	4.232169865	2.301797133	1.240880056	1.186076614	-0.31660364	0.25947382	0.476337126	0.773398289	0.780118875	1.118233889	1.454681318	2.547508758	3.582915523	0.517037006	-0.505046092	-1.056114086
oleic acid	-0.171751909	0.153462956	0.299937275	0.12910358	0.116121836	-0.040823301	0.43998263	0.06787575	0.068329057	-0.126531515	0.536909481	0.673181781	-0.077424798	0.073480441	-0.08463367	-0.177731283	-0.306810195	-0.370855096	0.028134431	-0.15679574	-0.034145852	-0.079527393	0.459396512	0.169842989	-0.19253964	-0.163081861	0.011404842	-0.370370825	-0.43082091	-0.085920265	-0.00137637	0.886854435	0.355468038	0.808687742	0	0.249924206	0.003453055	-0.192990924	-0.098737009	-0.331823826	-0.253606168	-0.137919437	0.234636975	1.210715029	0.87543886	0.713226762	-0.365529375	0.291386649	0.430674839	0.484754444	0.244575363	0.364003155	0.239167274	0.990963132	1.13784083	1.60947481	1.761401895	1.526743071
ornithine	0.021721511	-0.022053561	0.079917413	-0.052005257	-0.041125264	-0.097968436	-0.090090084	-0.109977378	-0.094414412	-0.052541135	-0.058788152	-0.053783479	0.037079283	-0.038057468	-0.012589321	-0.026589157	-0.033953326	-0.055670583	-0.014550101	-0.066553965	-0.166831975	0.042393596	-0.00939096	0.030695718	-0.031363044	-0.020411518	0.028585989	0.086263501	0.073345901	-0.045577646	-0.146686906	-0.030359539	0.077061306	-0.010337325	0	0.109270571	0.08634389	0.10188251	0.145217944	0.117439872	0.20004584	0.122077802	0.17838163	0.171469911	0.109150369	0.205715796	-0.016760458	0.016567978	-0.004231909	0.024281262	-0.10703417	-0.043770902	0.006213571	0.097828045	0.053919837	0.082867566	0.00764009	-0.080384217
orotic acid	0.010610774	-0.010689393	-0.11859338	-0.095892045	-0.117148804	-0.133457837	-0.062520005	-0.121845686	-0.059631487	0.148308291	0.081999651	0.171184761	-0.220455499	0.191190678	0.226278514	0.167722817	0.129799324	0.120694328	0.192454846	0.229128599	0.206948925	0.333079616	0.442403091	-0.027005052	0.026508833	0.029513405	0.0718214	0.029146744	0.041051865	0.152970584	-0.09184808	0.219474468	0.419325671	0.194924094	0	0.151863962	0.192536197	0.059253255	0.140812936	0.114352934	0.237096033	0.209872044	0.289173531	0.366615557	0.310522297	0.43684614	-0.143044871	0.130132468	0.322028398	0.299261445	0.329546241	0.272052065	0.40083433	0.721472319	0.45618452	0.437089989	0.461654306	0.504217329
oxalic acid	0.078858111	-0.083419019	0.012207284	-0.021740953	0.051599071	-0.234074453	-0.068012946	-0.168405111	-0.019672411	0.023753302	0.139320154	0.032449461	-0.021068267	0.020765021	-0.045179897	-0.092890836	-0.174653706	-0.236075424	-0.191250636	-0.336630237	-0.176010445	-0.084463593	0.13806061	0.063733733	-0.066679945	-0.066592286	0.08378566	0.037357623	0.044735462	-0.035117217	0.070154163	0.016613417	0.039733035	0.06325569	0	-0.041231442	0.129840129	-0.092976889	0.046551023	0.092620135	-0.099683677	0.054308063	0.182248857	0.297973036	0.234172428	0.256871333	0.061274466	-0.063992809	-0.026210988	-0.093652435	-0.118393495	-0.049283888	-0.121407243	0.121827741	0.069190614	3.117760294	3.27732379	4.003524045
oxamic acid	0.053205767	-0.05524335	0.263726875	0.170280484	-0.109963716	-0.15199474	0.119649518	-0.072512708	0.242508224	0.073012864	0.445296163	0.388076419	0.02629998	-0.026788338	0.090019012	-0.298802389	-0.220270483	-0.14753956	-0.138133731	-0.46471024	-0.17850371	-0.283167062	0.133679214	0.066305963	-0.069500794	-0.080956231	-0.024239011	-0.098780122	0.231794491	-0.055171038	-0.509658086	0.248672505	-0.187974267	0.825155547	0	0.130396691	0.171849495	0.341405142	0.430868197	0.174986894	0.305904552	0.718978457	0.290310803	1.04588404	0.950542177	0.742885909	0.000354923	-0.00035501	-0.049436699	-0.282988463	-0.52600575	-0.435431657	-0.407052582	-0.52491694	-0.171985639	0.136124694	0.019267028	0.01719413
palmitic acid 	-0.083492963	0.078924185	0.440636194	0.319312545	0.068312796	0.216124366	0.23674079	0.239298549	0.140863794	0.35549388	0.369831714	0.466964393	-0.016869838	0.016674852	0.005240849	-0.179556615	-0.031002688	-0.212209459	-0.127896032	0.106642988	0.115351742	0.131661428	0.314582072	0.041927824	-0.043182903	0.412357394	-0.042570219	0.116990902	-0.408214096	0.591872107	-0.069708959	0.442009285	0.873245165	0.094872614	0	0.013029975	0.139356	0.108532159	0.074485403	0.011974932	0.069290641	0.18556448	0.446704931	0.466342374	0.211774531	0.379103525	0.032486473	-0.033234885	0.063859245	-0.130934124	-0.12389874	0.057803419	0.031782718	0.31612127	0.351262388	0.411628561	0.25497771	0.182350753
palmitoleic acid	-0.043225286	0.041967778	0.407889548	0.372043436	-0.245408264	0.001702162	0.086444885	0.050614268	0.016159403	0.170779389	0.307385297	0.33139835	-0.061957805	0.059406178	0.160576279	-0.084560819	-0.068578485	-0.333113082	-0.163507584	0.05709347	0.085174291	0.255665053	0.166065442	0.087952959	-0.093665073	0.3165334	0.091534781	0.424104743	-0.714554355	0.515378326	0.406125838	0.490514775	1.358402505	0.183541915	0	0.177216992	-0.076679281	0.147189834	0.122541131	-0.073017319	0.181774121	0.533889392	0.713997606	0.668447167	0.140070584	0.563802556	0.112127191	-0.121581763	-0.044356461	-0.226264494	-0.169858072	0.160273966	0.187127885	0.618255387	0.481808554	0.40721616	0.09975556	0.068504213
pelargonic acid 	0.056140045	-0.058413403	-0.092720125	-0.163302037	-0.323864421	-0.533763577	-0.682432399	-0.675155825	-0.405263324	-0.161094802	-0.315489371	-0.394715328	0.301094641	-0.380969997	-0.593442587	-0.644815732	-1.015498584	-0.834490954	-0.707639516	-0.699977256	-0.938776023	-0.312133645	-0.541406353	-0.113647751	0.105345241	0.659102361	-0.021834087	0.176777975	0.322902	0.386821771	-0.214024897	-0.618920764	-0.832408459	-0.615575066	0	-0.009290855	-0.125523676	-0.136643236	0.421328803	-0.08858331	-0.281859629	-0.157023277	0.485120252	-0.01892889	-0.103420501	-0.062605749	0.363475935	-0.487058802	-0.44230519	-0.476420144	-1.131552884	-1.113941087	-0.908531034	-0.55514715	-0.823134141	-0.576162426	-0.882510832	-0.918028512
phosphoenolpyruvic acid	0.125329928	-0.137262416	-0.558272228	-0.189057012	-0.517034027	-0.145399405	-0.003834816	0.045249212	-0.138194767	0.097425583	0.085420653	0.365152589	0.058384718	-0.060847519	-0.276748253	-0.260436765	-0.489255103	-0.828264838	-0.193970932	-0.228488482	-0.063977232	0.286859543	-0.039576616	0.143798162	-0.159734025	-0.517524989	-0.81854058	-0.213540593	-0.394046326	-0.288373175	-0.067685336	2.613363466	2.355415266	2.154717148	0	0.578006419	3.488731651	3.117088743	2.572827955	1.7417589	0.935891172	0.374312464	0.520574791	0.852589741	3.42611963	3.703603183	-0.136130986	0.124386102	0.213793527	0.244758378	0.147992314	0.026085116	-0.197504035	0.164561427	-0.028181426	0.980528826	0.869670904	0.973304877
phenylalanine	-0.049808208	0.048145841	0.790241546	0.884582055	0.747653781	0.890923856	1.151784773	1.1557069	1.776416056	1.321040465	1.751427173	1.855761856	0.053387038	-0.055438798	3.233605729	3.574708536	3.96823374	3.774900542	3.899329684	4.601532751	4.8114383	5.063646298	5.505710981	-0.143557253	0.130556324	0.928766423	0.420222758	0.92307181	1.168203193	1.345401243	1.768971534	2.709174863	3.047494385	2.893805572	0	0.596252528	0.725508925	0.763203873	0.820628392	1.146205564	1.222052903	1.807210321	2.376625043	3.591262947	4.840233341	5.505868951	-0.258963195	0.219477364	0.208090442	0.414036102	0.371114843	0.486989087	0.680621884	1.393616543	2.277262242	3.124449254	3.327491942	3.185023456
