method,MSE_latent,MSE_observed,MSE_precision,accuracy,f1,fall_out,false_omission_rate,fdr,iterations,mean_rank_error,miss_rate,nlr,npv,plr,precision,prevalence,recall,specificity,time
LTGL,0.59774593912334917,147.31225164260195,149.88269168895548,0.98874,0.8602630925788036,0.0069941715237302245,0.004735974630197576,0.1623972933784437,197,0.59999999999999998,0.11581632653061225,0.11663207124204705,0.9952640253698024,126.417213313897,0.8376027066215563,0.0392,0.8841836734693878,0.9930058284762697,13.920387983322144
GL,,,94.184162141254973,0.97662,0.7148084898755793,0.014029975020815986,0.010342450011491611,0.31510051425899954,5,,0.25255102040816324,0.25614472449453535,0.9896575499885084,53.275146853993824,0.6848994857410005,0.0392,0.7474489795918368,0.9859700249791841,0.9481840133666992
LVGLASSO,1.3723215177679406,138.01901494563828,139.84557891979085,0.0392,0.07544264819091609,1.0,0,0.9608,500.0,1.2,0.0,0,0,1.0,0.0392,0.0392,1.0,0.0,30.858802
TVGL,,,,,,,,,,,,,,,,,,,
