method,MSE_latent,MSE_observed,MSE_precision,accuracy,f1,fall_out,false_omission_rate,fdr,iterations,mean_rank_error,miss_rate,nlr,npv,plr,precision,prevalence,recall,specificity,time
LTGL,0.21242659282972592,28.508822045542217,29.119713090848329,0.98084,0.5613553113553114,0.001463917525773196,0.017986049152404898,0.10380116959064327,190,3.3999999999999999,0.5913333333333334,0.5922002656810315,0.9820139508475951,279.15962441314554,0.8961988304093568,0.03,0.4086666666666667,0.9985360824742268,13.307071924209595
LVGLASSO,1.3009627017895318,25.518359153670389,24.22406393561527,0.03,0.058252427184466014,1.0,0,0.97,413.0,2.1000000000000001,0.0,0,0,1.0,0.03,0.03,1.0,0.0,25.774168
GL,,,16.569484526389459,0.98024,0.5505004549590536,0.0019175257731958763,0.0181534217678796,0.1332378223495702,2,,0.5966666666666667,0.5978129884796276,0.9818465782321204,210.34050179211468,0.8667621776504298,0.03,0.4033333333333333,0.9980824742268041,0.5341699123382568
